[15:43:41] New map: gm_csgoagency
[15:45:13] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/phone.mdl
[15:45:13] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/tv_plasma.mdl
[15:45:13] RusLanConnection<STEAM_0:0:238810681> spawned model models/sal/office/pencup.mdl
[15:45:13] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_interiors/printer.mdl
[15:45:13] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta_prop_michou/v_med_cor_cemtrolly.mdl
[15:45:13] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[15:45:13] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[15:45:13] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[15:45:13] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/tower.mdl
[15:45:13] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/file_box.mdl
[15:45:13] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[15:45:13] RusLanConnection<STEAM_0:0:238810681> spawned model models/sal/office/officedesk_clean4.mdl
[15:45:13] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[15:45:13] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/tv_plasma.mdl
[15:45:13] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/tv_plasma.mdl
[15:45:13] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[15:45:13] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/bins/cj_bin_15_f4.mdl
[15:45:13] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[15:45:13] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/file_box.mdl
[15:45:13] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[15:45:13] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[15:45:13] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[15:45:13] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[15:45:13] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/tv_plasma.mdl
[15:45:13] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/tv_plasma.mdl
[15:45:13] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/file_box.mdl
[15:45:13] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/microwave.mdl
[15:45:13] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/coffee_mug.mdl
[15:45:13] RusLanConnection<STEAM_0:0:238810681> spawned model models/hunter/blocks/cube025x025x025.mdl
[15:45:13] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[15:45:13] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta_prop_michou/v_med_testtubes.mdl
[15:45:13] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[15:45:13] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta_prop_michou/v_med_bottles3.mdl
[15:45:13] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/bins/cj_bin_11_f0.mdl
[15:45:13] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/microwave.mdl
[15:45:13] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/bins/cj_bin_15.mdl
[15:45:13] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[15:45:13] RusLanConnection<STEAM_0:0:238810681> spawned model models/sal/trash/binbag.mdl
[15:45:13] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[15:45:13] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[15:45:13] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/desks/officedrawer01.mdl
[15:45:13] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/file_box.mdl
[15:45:13] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
