[16:02:17] New map: gm_csgoagency
[16:08:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/tv_plasma.mdl
[16:08:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:08:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/file_box.mdl
[16:08:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/rubbish/bm_trolley01.mdl
[16:08:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:08:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/tower.mdl
[16:08:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:08:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[16:08:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/rubbish/cj_trolley_rub.mdl
[16:08:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/coffee_mug.mdl
[16:08:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[16:08:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/rubbish/rub_pile_2_f4.mdl
[16:08:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/rubbish/bm_rub_battery.mdl
[16:08:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/tower.mdl
[16:08:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:08:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/sal/trash/binbag.mdl
[16:08:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/coffee_mug.mdl
[16:08:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:08:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/tower.mdl
[16:08:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/sign/ny_sign_05_f1.mdl
[16:08:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/bins/cj_bin_11_f0.mdl
[16:08:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/bins/cj_bin_15.mdl
[16:08:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta_prop_michou/v_med_testtubes.mdl
[16:08:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta_prop_michou/v_med_bottles3.mdl
[16:08:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/rubbish/rub_pile_2_f2.mdl
[16:08:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_survival/cash/dufflebag.mdl
[16:08:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/trash_can_p8.mdl
[16:08:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/desks/officedrawer01.mdl
[16:08:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/ez2models/props/cs_office/chair_office.mdl
[16:08:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/sal/trash/card0.mdl
[16:08:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/sal/office/keyboard.mdl
[16:08:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[16:08:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
