[19:16:15] New map: gm_sro
[19:23:08] RusLanConnection<STEAM_0:0:238810681> spawned ragdoll models/player/kleiner.mdl
[19:23:08] RusLanConnection<STEAM_0:0:238810681> spawned model models/sam_model/missilepods.mdl
[19:23:08] RusLanConnection<STEAM_0:0:238810681> spawned ragdoll models/player/kleiner.mdl
[19:23:08] RusLanConnection<STEAM_0:0:238810681> spawned ragdoll models/player/kleiner.mdl
[19:23:08] RusLanConnection<STEAM_0:0:238810681> spawned model models/sam_model/rotator.mdl
[19:23:08] RusLanConnection<STEAM_0:0:238810681> spawned model models/sam_model/missilepods.mdl
[19:23:08] RusLanConnection<STEAM_0:0:238810681> spawned ragdoll models/player/kleiner.mdl
[19:23:11] RusLanConnection<STEAM_0:0:238810681> spawned sent joes_sam_turret_lvs
[19:23:13] RusLanConnection<STEAM_0:0:238810681> spawned sent joes_sam_turret_lvs
[19:23:15] RusLanConnection<STEAM_0:0:238810681> spawned sent joes_sam_turret_lvs
[19:23:16] RusLanConnection<STEAM_0:0:238810681> spawned sent joes_sam_turret_lvs
[19:24:07] RusLanConnection killed RusLanConnection
[19:24:21] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_c17/gravestone002a.mdl
[19:24:22] RusLanConnection<STEAM_0:0:238810681> spawned model models/jmod_scrounge/glassjug01_jmod.mdl
[19:24:23] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_junk/propane_tank001a.mdl
[19:24:23] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_junk/garbage_plasticbottle003a.mdl
[19:24:23] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_junk/plasticcrate01a.mdl
[19:24:24] RusLanConnection<STEAM_0:0:238810681> spawned vehicle models/vehicles/prisoner_pod_inner.mdl
[19:24:25] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/sofa.mdl
[19:24:29] RusLanConnection<STEAM_0:0:238810681> spawned ragdoll models/player/kleiner.mdl
[19:24:29] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_c17/furniturewashingmachine001a.mdl
[19:24:29] RusLanConnection<STEAM_0:0:238810681> spawned ragdoll models/player/kleiner.mdl
[19:24:29] RusLanConnection<STEAM_0:0:238810681> spawned ragdoll models/player/kleiner.mdl
[19:24:29] RusLanConnection<STEAM_0:0:238810681> spawned ragdoll models/player/kleiner.mdl
[19:24:29] RusLanConnection<STEAM_0:0:238810681> spawned ragdoll models/player/kleiner.mdl
[19:24:29] RusLanConnection<STEAM_0:0:238810681> spawned ragdoll models/player/kleiner.mdl
[19:24:29] RusLanConnection<STEAM_0:0:238810681> spawned ragdoll models/player/kleiner.mdl
