<Logging continued from "data/ulx_logs/11-22-24.txt">
[00:00:22] sekta<STEAM_0:0:57939554> spawned sent ent_jack_gmod_eznukerocket
[00:00:45] sekta<STEAM_0:0:57939554> spawned sent ent_jack_gmod_eznukerocket
[00:01:04] sekta<STEAM_0:0:57939554> spawned sent ent_jack_gmod_eznukerocket
[00:01:57] sekta<STEAM_0:0:57939554> spawned sent ent_jack_gmod_ezmoab
[00:01:59] sekta<STEAM_0:0:57939554> spawned sent ent_jack_gmod_eznukerocket
[00:04:54] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_eznukerocket
[00:05:28] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_eznukerocket
[00:09:54] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezpowderkeg
[00:10:57] RusLanConnection set the hp for Everyone to 1938313162
[00:20:33] RusLanConnection<STEAM_0:0:238810681> spawned sent joes_sam_turret_lvs
[00:24:37] RusLanConnection<STEAM_0:0:238810681> spawned sent joes_sam_turret_lvs
[00:27:34] RusLanConnection<STEAM_0:0:238810681> spawned sent joes_sam_turret_lvs
[00:30:10] RusLanConnection<STEAM_0:0:238810681> spawned sent joes_sam_turret_lvs
[00:31:45] RusLanConnection<STEAM_0:0:238810681> spawned sent joes_sam_turret_lvs
[00:35:59] RusLanConnection<STEAM_0:0:238810681> spawned sent joes_sam_turret_lvs
[00:38:02] RusLanConnection<STEAM_0:0:238810681> spawned sent joes_sam_turret_lvs
[00:41:15] RusLanConnection<STEAM_0:0:238810681> spawned sent joes_sam_turret_lvs
[00:42:56] RusLanConnection<STEAM_0:0:238810681> spawned sent joes_sam_turret_lvs
[00:44:14] RusLanConnection<STEAM_0:0:238810681> spawned sent joes_sam_turret_lvs
[00:44:55] RusLanConnection<STEAM_0:0:238810681> spawned sent joes_sam_turret_lvs
[00:49:12] RusLanConnection<STEAM_0:0:238810681> spawned sent joes_sam_turret_lvs
[00:53:05] RusLanConnection<STEAM_0:0:238810681> spawned sent joes_sam_turret_lvs
[01:02:58] RusLanConnection<STEAM_0:0:238810681> spawned sent joes_sam_turret_lvs
[01:04:52] RusLanConnection<STEAM_0:0:238810681> spawned sent joes_sam_turret_lvs
[01:05:40] RusLanConnection<STEAM_0:0:238810681> spawned sent joes_sam_turret_lvs
[01:06:59] RusLanConnection<STEAM_0:0:238810681> spawned sent joes_sam_turret_lvs
[01:08:34] RusLanConnection<STEAM_0:0:238810681> spawned sent joes_sam_turret_lvs
