[16:36:21] New map: gm_csgoagency
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/coffee_mug.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_interiors/clipboard01.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/file_box.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/desks/officedrawer01.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/phone.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/coffee_mug.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_interiors/coffee_maker.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/microwave.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/hunter/plates/plate075.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/file_box.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/coffee_mug.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/tv_plasma.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/tv_plasma.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/tv_plasma.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/phone.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/desks/officedrawer01.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/hunter/plates/plate025.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/hunter/plates/plate075.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/tower.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/microwave.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/tower.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_militia/paintbucket01.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned ragdoll models/male_07_ruslan.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/hunter/plates/plate075.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/hunter/plates/plate075.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/tv_plasma.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/coffee_mug.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/coffee_mug.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/desks/officedrawer01.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/file_box.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/hunter/plates/plate1x1.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/file_box.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/file_box.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_interiors/printer.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/file_box.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/tower.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/hunter/plates/plate025.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/tv_plasma.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/coffee_mug.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/tv_plasma.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/projector_remote.mdl
[16:39:18] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/tower.mdl
[16:41:34] RusLanConnection was killed by trigger_hurt
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/coffee_mug.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_interiors/clipboard01.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/file_box.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/desks/officedrawer01.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/phone.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/coffee_mug.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_interiors/coffee_maker.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/microwave.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/hunter/plates/plate075.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/file_box.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/coffee_mug.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/tv_plasma.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/tv_plasma.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/tv_plasma.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/phone.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/desks/officedrawer01.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/hunter/plates/plate025.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/hunter/plates/plate075.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/tower.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/microwave.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/tower.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_militia/paintbucket01.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned ragdoll models/male_07_ruslan.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/hunter/plates/plate075.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/hunter/plates/plate075.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/tv_plasma.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/coffee_mug.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/coffee_mug.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/desks/officedrawer01.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/file_box.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/hunter/plates/plate1x1.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/file_box.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/file_box.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_interiors/printer.mdl
[16:41:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/file_box.mdl
