[18:47:28] New map: bf_arid
[18:48:27] RusLanConnection<STEAM_0:0:238810681> spawned sent lvs_wheeldrive_pz1bison
[18:48:29] RusLanConnection<STEAM_0:0:238810681> spawned sent lvs_wheeldrive_pz1bison
[18:48:33] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezhebomb
[18:48:53] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezthermobaricbomb
[18:50:43] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezhebomb
[18:52:14] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezclusterbomb
[18:52:29] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezclusterbomb
[18:52:29] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezchlorinebomb
[18:52:31] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezincendiarybomb
[18:52:59] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezfuel
[18:53:01] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezfuel
[18:54:54] RusLanConnection killed RusLanConnection
[18:55:36] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezgasnade
[18:55:53] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezgasnade
[18:56:37] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezgasnade
[18:57:35] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezchlorinebomb
[18:58:24] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezfieldhospital
[18:58:26] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezbattery
[18:58:27] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezmedsupplies
[19:00:45] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezchlorinebomb
[19:02:21] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezfieldhospital
[19:02:23] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezbattery
[19:02:25] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezmedsupplies
[19:03:56] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezmedsupplies
[19:05:09] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezmedsupplies
[19:05:10] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezbattery
[19:05:26] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezchlorinebomb
[19:05:26] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezchlorinebomb
[19:05:38] RusLanConnection<STEAM_0:0:238810681> spawned sent lvs_trailer_schneider
[19:05:45] RusLanConnection<STEAM_0:0:238810681> spawned sent lvs_trailer_schneider
[19:05:48] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezchlorinebomb
[19:05:49] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezchlorinebomb
[19:06:38] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezorganics
[19:06:43] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezchemicals
[19:06:50] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_c17/trappropeller_blade.mdl
[19:07:12] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezhebomb
[19:08:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/hunter/blocks/cube025x075x025.mdl
[19:08:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/hunter/blocks/cube025x125x025.mdl
[19:11:07] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezchlorinebomb
[19:11:13] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezincendiarybomb
[19:11:52] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezincendiarybomb
[19:12:10] RusLanConnection<STEAM_0:0:238810681> spawned model models/hunter/blocks/cube025x025x025.mdl
[19:13:09] RusLanConnection<STEAM_0:0:238810681> spawned model models/hunter/blocks/cube025x125x025.mdl
[19:16:07] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezchlorinebomb
[19:16:09] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezincendiarybomb
[19:16:11] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezclusterbomb
[19:16:17] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezorganics
[19:16:31] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezchemicals
[19:16:33] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezchlorinebomb
[19:17:00] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_eztoolbox
[19:17:05] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezbasicparts
[19:17:08] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_fumo_gmod_compass
[19:17:09] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_fumo_gmod_cratepack
[19:35:23] RusLanConnection<STEAM_0:0:238810681> spawned sent sent_jumppad_large
[19:38:35] Server is shutting down/changing levels.



[19:38:54] New map: bf_arid
[19:39:36] Server is shutting down/changing levels.



[19:40:42] New map: bf_arid
[19:42:34] RusLanConnection<STEAM_0:0:238810681> spawned sent sent_conveyor
[19:43:07] RusLanConnection<STEAM_0:0:238810681> spawned sent sent_conveyor
[19:43:37] RusLanConnection<STEAM_0:0:238810681> spawned sent sent_conveyor
[19:44:19] RusLanConnection<STEAM_0:0:238810681> spawned sent sent_conveyor
[19:44:55] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezarmor_metalbucket
[19:44:58] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezarmor_metalbucket
