[17:58:48] New map: gm_csgoagency
[17:59:46] RusLanConnection<STEAM_0:0:238810681> spawned ragdoll models/male_07_ruslan.mdl
[17:59:47] RusLanConnection<STEAM_0:0:238810681> spawned ragdoll models/ruslan_playermodel.mdl
[18:01:23] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/tv_plasma.mdl
[18:01:23] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/coffee_mug.mdl
[18:01:23] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/tv_plasma.mdl
[18:01:23] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[18:01:23] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[18:01:23] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[18:01:23] RusLanConnection<STEAM_0:0:238810681> spawned model models/mark2580/gtav/mp_office_03c/accessories/award_gold.mdl
[18:01:23] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/coffee_mug.mdl
[18:01:23] RusLanConnection<STEAM_0:0:238810681> spawned effect models/sal/trash/litter1_f3.mdl
[18:01:23] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/tower.mdl
[18:01:23] RusLanConnection<STEAM_0:0:238810681> spawned model models/sal/office/monitor.mdl
[18:01:23] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[18:01:24] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta_prop_michou/v_med_bottles3.mdl
[18:01:24] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[18:01:24] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[18:01:24] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[18:01:24] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta_prop_michou/v_med_cor_cemtrolly.mdl
[18:01:24] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/file_box.mdl
[18:01:24] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[18:01:24] RusLanConnection<STEAM_0:0:238810681> spawned model models/sal/trash/binbag.mdl
[18:01:24] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/tower.mdl
[18:01:24] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_interiors/coffee_maker.mdl
[18:01:24] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[18:01:24] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta_prop_michou/v_med_bottles2.mdl
[18:01:24] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[18:01:24] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[18:01:24] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/file_box.mdl
[18:01:24] RusLanConnection<STEAM_0:0:238810681> spawned model models/sal/office/organizer.mdl
[18:01:24] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/tower.mdl
[18:01:24] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/file_box.mdl
[18:01:24] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[18:01:24] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/projector_remote.mdl
[18:01:24] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[18:01:24] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/phone.mdl
[18:01:24] RusLanConnection<STEAM_0:0:238810681> spawned effect models/sal/trash/litter4_f3.mdl
[18:01:24] RusLanConnection<STEAM_0:0:238810681> spawned model models/sal/office/keyboard.mdl
[18:01:24] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/file_box.mdl
[18:01:24] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[18:01:24] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/rubbish/cj_trolley_rub.mdl
[18:01:24] RusLanConnection<STEAM_0:0:238810681> spawned model models/sal/office/monitor.mdl
[18:01:24] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/file_box.mdl
[18:01:24] RusLanConnection<STEAM_0:0:238810681> spawned effect models/sal/trash/litter5_f3.mdl
[18:01:24] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_interiors/printer.mdl
[18:01:24] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/bins/cj_bin_1_f1.mdl
[18:01:24] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[18:01:24] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/microwave.mdl
[18:01:24] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/tv_plasma.mdl
[18:01:24] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/rubbish/bm_trolley01.mdl
[18:01:24] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/bins/cj_bin_6.mdl
[18:01:24] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/coffee_mug.mdl
[18:01:24] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[18:01:24] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[18:01:24] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/desks/officedrawer01.mdl
[18:01:24] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/tower.mdl
[18:01:24] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[18:01:24] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_survival/cash/dufflebag.mdl
[18:01:24] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/desks/officedrawer01.mdl
[18:01:24] RusLanConnection<STEAM_0:0:238810681> spawned model models/ez2models/props/cs_office/chair_office.mdl
[18:01:24] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/bins/cj_bin_15.mdl
[18:01:24] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/rubbish/rub_pile_2_f6.mdl
