[17:40:37] New map: gm_csgoagency
[17:40:57] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/phone.mdl
[17:40:57] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/sign/ny_sign_05b_f1.mdl
[17:40:57] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[17:40:57] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[17:40:57] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/tv_plasma.mdl
[17:40:57] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/sign/ny_sign_05_f1.mdl
[17:40:57] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[17:40:57] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/microwave.mdl
[17:40:57] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/sign/ny_sign_01_f1.mdl
[17:40:57] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/coffee_mug.mdl
[17:40:57] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/coffee_mug.mdl
[17:40:57] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta_prop_michou/v_med_cor_cemtrolly.mdl
[17:40:57] RusLanConnection<STEAM_0:0:238810681> spawned model models/sal/office/monitor.mdl
[17:40:57] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[17:40:57] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_interiors/coffee_maker.mdl
[17:40:57] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/projector_remote.mdl
[17:40:57] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[17:40:57] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/microwave.mdl
[17:40:57] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_interiors/printer.mdl
[17:40:57] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/bins/cj_bin_11_f0.mdl
[17:40:57] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/phone.mdl
[17:40:57] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[17:40:57] RusLanConnection<STEAM_0:0:238810681> spawned model models/sal/trash/card3.mdl
[17:40:57] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[17:40:57] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[17:40:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/bins/cj_bin_15.mdl
[17:40:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/mark2580/gtav/barstuff/glass_06.mdl
[17:40:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[17:40:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[17:40:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/coffee_mug.mdl
[17:40:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta_prop_michou/v_med_testtubes.mdl
[17:40:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/sal/office/officedesk_clean4.mdl
[17:40:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/sal/trash/card5.mdl
[17:40:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta_prop_michou/v_med_oscillator4.mdl
[17:40:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[17:40:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[17:40:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[17:40:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/mark2580/gtav/mp_office_03c/accessories/award_gold.mdl
[17:40:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[17:40:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta_prop_michou/v_med_bottles3.mdl
[17:40:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/tower.mdl
[17:40:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_interiors/clipboard01.mdl
[17:40:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[17:40:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[17:40:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/sal/trash/binbag.mdl
[17:40:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta_prop_michou/v_med_bottles2.mdl
