[15:31:01] New map: bf_arid
[15:31:36] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezweapon_ar
[15:31:48] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezweapon_pocketpistol
[15:31:53] RusLanConnection suicided!
[15:32:18] RusLanConnection suicided!
[15:33:14] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_eztoolbox
[15:33:20] RusLanConnection suicided!
[15:33:34] RusLanConnection suicided!
[15:34:45] RusLanConnection<STEAM_0:0:238810681> spawned model models/sandbags_4m.mdl
[15:35:09] RusLanConnection<STEAM_0:0:238810681> spawned model models/sandbags_circle_half.mdl
[15:35:11] RusLanConnection<STEAM_0:0:238810681> spawned model models/us_guard_tower.mdl
[15:35:31] RusLanConnection<STEAM_0:0:238810681> spawned model models/sandbags_corner_2m.mdl
[15:35:33] RusLanConnection: supply radio: airstrike hebombs
[15:35:34] RusLanConnection<STEAM_0:0:238810681> spawned model models/mec_guard_tower.mdl
[15:35:36] RusLanConnection<STEAM_0:0:238810681> spawned model models/mec_guard_tower.mdl
[15:35:49] RusLanConnection<STEAM_0:0:238810681> spawned model models/vehicle shelter.mdl
[15:35:50] RusLanConnection<STEAM_0:0:238810681> spawned model models/sandbag shelter mirror.mdl
[15:36:09] RusLanConnection<STEAM_0:0:238810681> spawned model models/components/stilted_foundation01.mdl
[15:36:19] RusLanConnection<STEAM_0:0:238810681> spawned model models/components/wall01_crawl_r.mdl
[15:36:26] RusLanConnection<STEAM_0:0:238810681> spawned model models/components/wall_window_c.mdl
[15:36:30] RusLanConnection<STEAM_0:0:238810681> spawned model models/components/wall_door_r.mdl
[15:36:38] RusLanConnection<STEAM_0:0:238810681> spawned model models/components/prefab_house01.mdl
[15:36:48] RusLanConnection<STEAM_0:0:238810681> spawned model models/components/wall01_damage01.mdl
[15:36:50] RusLanConnection<STEAM_0:0:238810681> spawned model models/components/wall01_damage01.mdl
[15:37:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/holograms/cube_corner.mdl
[15:37:17] RusLanConnection<STEAM_0:0:238810681> spawned model models/components/wall_window_slit.mdl
[15:37:22] RusLanConnection<STEAM_0:0:238810681> spawned model models/components/wall_window_slit.mdl
[15:37:31] RusLanConnection<STEAM_0:0:238810681> spawned model models/components/wall_window_glass.mdl
[15:37:35] RusLanConnection<STEAM_0:0:238810681> spawned model models/components/tunnel_entry_exit_02.mdl
[15:37:47] RusLanConnection<STEAM_0:0:238810681> spawned model models/components/tunnel_junction_1.mdl
[15:37:51] RusLanConnection<STEAM_0:0:238810681> spawned model models/components/tunnel_junction_3.mdl
[15:37:59] RusLanConnection<STEAM_0:0:238810681> spawned model models/components/tunnel_entry_exit_01.mdl
[15:38:07] RusLanConnection<STEAM_0:0:238810681> spawned model models/components/stair_spiral01.mdl
[15:38:13] RusLanConnection<STEAM_0:0:238810681> spawned model models/components/stair_spiral02.mdl
[15:38:23] RusLanConnection<STEAM_0:0:238810681> spawned model models/components/wall_door_l.mdl
[15:38:24] RusLanConnection<STEAM_0:0:238810681> spawned model models/components/wall_door_c.mdl
[15:38:41] RusLanConnection<STEAM_0:0:238810681> spawned model models/components/wall_gapped02_covered.mdl
[15:38:55] RusLanConnection<STEAM_0:0:238810681> spawned model models/components/ladder_l.mdl
[15:38:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/components/ladder_r.mdl
[15:38:59] RusLanConnection<STEAM_0:0:238810681> spawned model models/components/stair_spiral02m.mdl
[15:39:00] RusLanConnection<STEAM_0:0:238810681> spawned model models/components/stairs_full.mdl
[15:39:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/components/stair_spiral02m.mdl
[15:39:20] RusLanConnection<STEAM_0:0:238810681> spawned model models/components/stair_spiral02m.mdl
[15:39:22] RusLanConnection<STEAM_0:0:238810681> spawned model models/components/ladder_r.mdl
[15:39:24] RusLanConnection<STEAM_0:0:238810681> spawned model models/components/stair_spiral02m.mdl
[15:40:03] RusLanConnection<STEAM_0:0:238810681> spawned sent lvs_trailer_schneider
[15:40:19] RusLanConnection<STEAM_0:0:238810681> spawned sent lvs_item_ammo
[15:40:31] RusLanConnection<STEAM_0:0:238810681> spawned sent lvs_item_ammo
[15:40:41] RusLanConnection<STEAM_0:0:238810681> spawned sent lvs_item_ammo
[15:40:59] RusLanConnection<STEAM_0:0:238810681> spawned sent lvs_wheeldrive_bm13
[15:41:36] RusLanConnection: supply radio: airstrike hebombs
[15:41:39] RusLanConnection<STEAM_0:0:238810681> spawned sent lvs_wheeldrive_bm13
[15:42:12] RusLanConnection<STEAM_0:0:238810681> spawned sent lvs_wheeldrive_sdkfz251_pak
[15:42:30] RusLanConnection<STEAM_0:0:238810681> spawned sent lvs_wheeldrive_m10
[15:42:54] RusLanConnection<STEAM_0:0:238810681> spawned sent lvs_wheeldrive_m10
[15:43:07] RusLanConnection<STEAM_0:0:238810681> spawned sent lvs_wheeldrive_sdkfz251_wurfrahmen
[15:43:22] RusLanConnection<STEAM_0:0:238810681> spawned sent lvs_wheeldrive_fiat_621
[15:43:26] RusLanConnection<STEAM_0:0:238810681> spawned sent lvs_wheeldrive_rp_dodtiger
[15:43:42] RusLanConnection<STEAM_0:0:238810681> spawned sent lvs_wheeldrive_dodtiger
[15:44:03] RusLanConnection<STEAM_0:0:238810681> spawned sent lvs_wheeldrive_rp_dodtiger
[15:45:22] RusLanConnection<STEAM_0:0:238810681> spawned sent lvs_wheeldrive_dodtiger
[15:46:47] RusLanConnection<STEAM_0:0:238810681> spawned model models/holograms/cube_arrow.mdl
[15:46:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/components/wall_sheet_short01.mdl
[15:47:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/components/wall_sheet_short01_damage.mdl
[15:47:08] RusLanConnection<STEAM_0:0:238810681> spawned model models/components/wall_sheet02.mdl
[15:47:11] RusLanConnection<STEAM_0:0:238810681> spawned model models/components/wall_sheet01.mdl
[15:47:12] RusLanConnection<STEAM_0:0:238810681> spawned model models/components/wall_plain.mdl
[15:47:28] RusLanConnection<STEAM_0:0:238810681> spawned model models/components/stairs_l.mdl
[15:47:35] RusLanConnection<STEAM_0:0:238810681> spawned model models/components/stairs_straight2.mdl
[15:47:36] RusLanConnection<STEAM_0:0:238810681> spawned model models/components/stairs_u2.mdl
[15:47:37] RusLanConnection<STEAM_0:0:238810681> spawned model models/components/stairs_u.mdl
[15:47:39] RusLanConnection<STEAM_0:0:238810681> spawned model models/components/stairs_l.mdl
[15:47:40] RusLanConnection<STEAM_0:0:238810681> spawned model models/components/stairs_l2.mdl
[15:47:41] RusLanConnection<STEAM_0:0:238810681> spawned model models/components/stairs_straight.mdl
[15:47:42] RusLanConnection<STEAM_0:0:238810681> spawned model models/components/stairs_l.mdl
[15:47:43] RusLanConnection<STEAM_0:0:238810681> spawned model models/components/stairs_u.mdl
[15:47:44] RusLanConnection<STEAM_0:0:238810681> spawned model models/components/stairs_u2.mdl
[15:47:45] RusLanConnection<STEAM_0:0:238810681> spawned model models/components/stairs_l.mdl
[15:47:47] RusLanConnection<STEAM_0:0:238810681> spawned model models/components/stairs_l2.mdl
