[15:39:47] New map: gm_csgoagency
[15:41:33] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[15:41:33] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[15:41:33] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/rubbish/rub_pile_2_f4.mdl
[15:41:33] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[15:41:33] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[15:41:33] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/rubbish/cj_trolley_rub.mdl
[15:41:34] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/sign/ny_sign_01_f1.mdl
[15:41:34] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/coffee_mug.mdl
[15:41:34] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[15:41:34] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[15:41:34] RusLanConnection<STEAM_0:0:238810681> spawned model models/sal/trash/card3.mdl
[15:41:34] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[15:41:34] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[15:41:34] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/tower.mdl
[15:41:34] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/bins/cj_bin_15_f4.mdl
[15:41:34] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[15:41:34] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/file_box.mdl
[15:41:34] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[15:41:34] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/rubbish/bm_trolley01.mdl
[15:41:34] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/tv_plasma.mdl
[15:41:34] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[15:41:34] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[15:41:34] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[15:41:34] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/tv_plasma.mdl
[15:41:34] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/file_box.mdl
[15:41:34] RusLanConnection<STEAM_0:0:238810681> spawned model models/hunter/plates/plate1x1.mdl
[15:41:34] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/tv_plasma.mdl
[15:41:34] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/file_box.mdl
[15:41:34] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[15:41:34] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/tv_plasma.mdl
[15:41:34] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/phone_p1.mdl
[15:41:34] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/trash_can_p5.mdl
[15:41:34] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[15:41:34] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/trash_can_p5.mdl
[15:41:34] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/trash_can_p8.mdl
[15:41:34] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/trash_can_p5.mdl
[15:41:34] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/trash_can_p5.mdl
[15:41:34] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/radio.mdl
[15:41:34] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/trash_can_p8.mdl
[15:41:34] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/trash_can_p5.mdl
[15:41:34] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/microwave.mdl
[15:41:34] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_interiors/coffee_maker.mdl
[15:41:34] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/trash_can_p5.mdl
[15:41:34] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[15:41:34] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/coffee_mug.mdl
[15:41:34] RusLanConnection<STEAM_0:0:238810681> spawned model models/mark2580/gtav/mp_office_03c/accessories/award_gold.mdl
[15:41:34] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_interiors/clipboard01.mdl
[15:41:34] RusLanConnection<STEAM_0:0:238810681> spawned model models/sal/trash/card5.mdl
[15:41:34] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/projector_remote.mdl
[15:41:34] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[15:41:34] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/coffee_mug.mdl
[15:41:34] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/tv_plasma.mdl
[15:41:34] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_militia/paintbucket01.mdl
[15:41:34] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta_prop_michou/v_med_bottles2.mdl
[15:41:34] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/desks/officedrawer01.mdl
[15:41:34] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/coffee_mug.mdl
[15:41:34] RusLanConnection<STEAM_0:0:238810681> spawned model models/furious964/props/tv6.mdl
[15:41:34] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[15:41:34] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[15:41:34] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[15:41:34] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/tower.mdl
[15:41:34] RusLanConnection<STEAM_0:0:238810681> spawned model models/furious964/props/computer.mdl
[15:41:34] RusLanConnection<STEAM_0:0:238810681> spawned model models/sal/office/pencup.mdl
