[16:14:04] New map: bf_arid
[16:19:08] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_aboot_jmod_ezweapon_combsr
[16:19:10] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_aboot_jmod_ezweapon_apisr
[16:19:18] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezweapon_ar
[16:19:34] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezweapon_smg
[16:19:49] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezweapon_pas
[16:21:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_junk/rock001a.mdl
[16:21:17] RusLanConnection<STEAM_0:0:238810681> spawned ragdoll models/player/group03/male_02.mdl
[16:21:17] RusLanConnection<STEAM_0:0:238810681> spawned ragdoll models/player/group03/male_07.mdl
[16:21:19] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_junk/popcan01a.mdl
[16:21:20] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_junk/garbage_metalcan002a.mdl
[16:21:21] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_junk/popcan01a.mdl
[16:21:21] RusLanConnection<STEAM_0:0:238810681> spawned model models/jmod_scrounge/glassjug01_jmod.mdl
[16:23:32] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_junk/rock001a.mdl
[16:23:32] RusLanConnection<STEAM_0:0:238810681> spawned ragdoll models/player/group03/male_02.mdl
[16:23:32] RusLanConnection<STEAM_0:0:238810681> spawned ragdoll models/player/group03/male_07.mdl
[16:23:32] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_junk/popcan01a.mdl
[16:23:32] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_junk/garbage_metalcan002a.mdl
[16:23:32] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_junk/popcan01a.mdl
[16:23:32] RusLanConnection<STEAM_0:0:238810681> spawned model models/jmod_scrounge/glassjug01_jmod.mdl
[16:24:45] Client "Redoket" connected.
[16:24:51] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_junk/rock001a.mdl
[16:24:51] RusLanConnection<STEAM_0:0:238810681> spawned ragdoll models/player/group03/male_02.mdl
